coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,hemisphere
513,1762.21636160776,2144.12202216664,109,127,225,right
513,1830.93596844436,2208.84630302437,114,121,226,right
513,1714.27244986129,2271.17338829477,105,116,226,right
513,1858.90325029646,2245.60330202999,115,117,226,right
514,1781.39392630634,2072.20615454694,111,133,224,right
515,1757.42197043311,2292.74814858068,107,113,225,right
515,1781.39392630634,2321.51449562856,109,110,226,right
516,1949.19761741897,2178.48182558494,122,123,224,right
516,1933.21631350348,2135.33230501312,121,127,224,right
516,2137.77700362173,2140.92576138354,137,125,223,right
516,1976.3658340753,2375.85092894122,122,104,225,right
517,1921.23033556686,2133.73417462157,120,127,223,right
517,1838.12755520633,2183.27621675959,114,122,223,right
517,1772.60420915282,2223.22947654831,109,119,224,right
517,1826.94064246548,2335.8976691525,112,108,224,right
517,1769.40794836973,2357.47242943841,108,107,225,right
517,1887.66959734434,2351.07990787221,116,107,224,right
517,1949.19761741897,2474.93501321725,119,95,225,right
517,1988.35181201191,2425.39297107923,122,100,224,right
518,1748.63225327959,2181.67808636804,108,123,223,right
518,1713.47338466552,2127.34165305538,106,128,223,right
518,1807.7630777669,2232.01919370183,112,119,224,right
518,1855.70698951336,2224.82760693986,114,118,223,right
518,1853.30979392604,2204.8509770455,115,121,223,right
518,1865.29577186266,2144.92108736242,116,126,223,right
518,2059.46861443584,1982.71085262021,132,141,221,right
518,2013.12283308092,2003.48654771035,129,139,221,right
518,1939.60883506968,2172.88836921452,122,123,223,right
518,1942.006030657,2152.91173932016,122,126,223,right
519,1844.52007677252,2309.52851769194,114,111,223,right
519,1882.07614097392,2128.93978344693,117,127,222,right
519,1663.13227733173,2157.70613049481,102,126,222,right
519,1643.15564743737,2184.07528195536,101,123,223,right
519,1864.49670666688,2272.77151868632,115,114,223,right
519,1858.10418510069,2291.15001818913,115,113,223,right
519,1846.11820716407,2260.7855407497,114,116,223,right
519,2005.93124631895,2285.55656181871,125,112,222,right
519,1982.75835564149,2281.56123583984,124,112,222,right
519,2046.68357130345,2265.57993192435,128,114,222,right
519,1982.75835564149,1997.89309133993,127,140,220,right
519,1798.17429541761,2054.62672023991,112,135,221,right
519,1858.10418510069,2090.58465404976,117,131,221,right
519,1881.27707577814,2054.62672023991,118,135,221,right
520,1878.87988019082,2182.47715156381,117,122,222,right
520,1641.55751704582,2246.40236722577,100,118,223,right
520,1953.19294339784,2036.2482207371,124,136,221,right
520,1895.66024930208,2048.23419867371,119,135,221,right
520,1915.63687919644,2343.88832111024,118,108,223,right
520,1965.17892133446,2276.76684466519,122,114,222,right
520,1824.54344687816,2291.15001818913,112,113,223,right
521,1789.38457826409,2124.14539227228,111,129,222,right
521,1846.11820716407,2087.38839326666,116,131,221,right
521,1842.92194638097,2210.44443341592,114,120,222,right
521,1755.82384004156,2450.16399214824,106,99,224,right
521,1771.80514395705,2402.22008040177,107,102,224,right
521,1789.38457826409,2421.39764510036,109,101,224,right
521,1828.53877285703,2422.99577549191,111,101,224,right
521,1865.29577186266,2372.65466815812,114,105,223,right
521,1831.73503364013,2309.52851769194,113,111,223,right
521,1640.75845185005,2212.04256380747,101,121,223,right
521,1693.49675477116,2315.92103925814,104,112,223,right
521,1692.69768957538,2347.08458189334,102,108,224,right
521,1860.50138068801,2409.41166716374,114,102,224,right
521,1935.6135090908,2460.55183969331,118,96,224,right
521,2013.12283308092,2397.42568922713,125,102,223,right
522,1859.70231549224,2327.90691965262,114,109,222,right
522,1840.52475079365,2411.00970001315,112,102,223,right
522,1846.11820716407,2411.00970001315,113,102,223,right
522,1897.25837969363,2392.63120051034,116,103,222,right
522,1907.6462272387,2367.86017944134,117,105,222,right
522,1897.25837969363,2463.74800293427,115,96,223,right
522,1680.71171163877,2248.79946527095,103,118,222,right
522,1890.86585812744,2124.14529473014,118,128,220,right
522,1960.38453015981,2340.69196278501,121,107,222,right
523,1844.52007677252,2431.78539510329,113,99,223,right
523,1824.54344687816,2426.99100392864,111,101,223,right
523,1766.21168758663,2404.61717844696,107,102,223,right
523,1698.2911459458,2437.37885147371,103,100,223,right
523,1718.26777584017,2403.01904805541,104,103,223,right
523,1854.10885912181,2197.65929274139,115,121,221,right
523,1856.50605470914,2127.34155551324,115,127,220,right
523,1697.49208075003,2304.73402897516,104,113,222,right
523,1674.31919007257,2371.05644022443,101,107,223,right
